filename,class_number
000613.png,50
000614.png,79
000615.png,29
000616.png,18
000617.png,65
000618.png,72
000619.png,24
000620.png,79
000621.png,86
000622.png,74
000623.png,58
000624.png,65
000625.png,24
000626.png,2
000627.png,79
000628.png,79
000629.png,70
000630.png,101
000631.png,77
000632.png,44
000633.png,50
000634.png,79
000635.png,77
000636.png,77
000637.png,40
000638.png,18
000639.png,72
000640.png,79
000641.png,54
000642.png,40
000643.png,65
000644.png,77
000645.png,24
000646.png,72
000647.png,24
000648.png,79
000649.png,55
000650.png,79
000651.png,71
000652.png,40
000653.png,79
000654.png,19
000655.png,73
000656.png,24
000657.png,74
000658.png,26
000659.png,72
000660.png,31
000661.png,80
000662.png,24
000663.png,18
000664.png,24
000665.png,77
000666.png,24
000667.png,79
000668.png,79
000669.png,19
000670.png,24
000671.png,77
000672.png,24
000673.png,72
000674.png,27
000675.png,9
000676.png,79
000677.png,87
000678.png,50
000679.png,103
000680.png,62
000681.png,57
000682.png,79
000683.png,79
000684.png,72
000685.png,50
000686.png,72
000687.png,50
000688.png,79
000689.png,62
000690.png,62
000691.png,75
000692.png,79
000693.png,44
000694.png,27
000695.png,79
000696.png,74
000697.png,18
000698.png,74
000699.png,79
000700.png,24
000701.png,45
000702.png,79
000703.png,79
000704.png,66
000705.png,1
000706.png,79
000707.png,80
000708.png,74
000709.png,79
000710.png,50
000711.png,57
000712.png,18
000713.png,57
000714.png,24
000715.png,79
000716.png,42
000717.png,73
000718.png,57
000719.png,55
000720.png,79
000721.png,70
000722.png,24
000723.png,79
000724.png,14
000725.png,93
000726.png,55
000727.png,75
000728.png,79
000729.png,79
000730.png,18
000731.png,88
000732.png,42
000733.png,50
000734.png,71
000735.png,79
000736.png,79
000737.png,2
000738.png,79
000739.png,29
000740.png,44
000741.png,19
000742.png,80
000743.png,72
000744.png,55
000745.png,79
000746.png,59
000747.png,18
000748.png,79
000749.png,19
000750.png,17
000751.png,72
000752.png,50
000753.png,6
000754.png,24
000755.png,50
000756.png,95
000757.png,79
000758.png,29
000759.png,24
000760.png,79
000761.png,79
000762.png,65
000763.png,79
000764.png,94
000765.png,3
000766.png,72
000767.png,76
000768.png,79
000769.png,79
000770.png,79
000771.png,44
000772.png,79
000773.png,79
000774.png,79
000775.png,104
000776.png,79
000777.png,74
000778.png,66
000779.png,42
000780.png,77
000781.png,72
000782.png,95
000783.png,79
000784.png,2
000785.png,42
000786.png,75
000787.png,50
000788.png,77
000789.png,67
000790.png,93
000791.png,79
000792.png,29
000793.png,24
000794.png,24
000795.png,87
000796.png,50
000797.png,27
000798.png,94
000799.png,24
000800.png,84
000801.png,24
000802.png,57
000803.png,73
000804.png,77
000805.png,62
000806.png,77
000807.png,77
000808.png,57
000809.png,79
000810.png,63
000811.png,73
000812.png,79
000813.png,28
000814.png,9
000815.png,67
000816.png,79
000817.png,24
000818.png,50
000819.png,79
000820.png,72
000821.png,77
000822.png,9
000823.png,44
000824.png,65
000825.png,42
000826.png,79
000827.png,74
000828.png,101
000829.png,76
000830.png,79
000831.png,36
000832.png,71
000833.png,79
000834.png,75
000835.png,24
000836.png,79
000837.png,66
000838.png,28
000839.png,79
000840.png,24
000841.png,15
000842.png,24
000843.png,79
000844.png,79
000845.png,79
000846.png,79
000847.png,77
000848.png,21
000849.png,79
000850.png,75
000851.png,79
000852.png,77
000853.png,72
000854.png,80
000855.png,31
000856.png,24
000857.png,79
000858.png,72
000859.png,74
000860.png,79
000861.png,24
000862.png,79
000863.png,27
000864.png,79
000865.png,98
000866.png,40
000867.png,24
000868.png,79
000869.png,77
000870.png,57
000871.png,24
000872.png,79
000873.png,24
000874.png,77
000875.png,93
000876.png,100
000877.png,24
000878.png,79
000879.png,44
000880.png,24
000881.png,77
000882.png,79
000883.png,18
000884.png,77
000885.png,62
000886.png,79
000887.png,42
000888.png,28
000889.png,42
000890.png,57
000891.png,75
000892.png,24
000893.png,79
000894.png,27
000895.png,74
000896.png,67
000897.png,50
000898.png,79
000899.png,70
000900.png,79
000901.png,79
000902.png,99
000903.png,79
000904.png,79
000905.png,29
000906.png,50
000907.png,72
000908.png,24
000909.png,24
000910.png,44
000911.png,76
000912.png,65
000913.png,24
000914.png,62
000915.png,79
000916.png,79
000917.png,79
000918.png,79
000919.png,79
000920.png,67
000921.png,17
000922.png,101
000923.png,79
000924.png,79
000925.png,31
000926.png,105
000927.png,80
000928.png,79
000929.png,18
000930.png,79
000931.png,76
000932.png,24
000933.png,79
000934.png,86
000935.png,3
000936.png,27
000937.png,24
000938.png,89
000939.png,75
000940.png,65
000941.png,24
000942.png,62
000943.png,18
000944.png,66
000945.png,73
000946.png,79
000947.png,77
000948.png,50
000949.png,79
000950.png,79
000951.png,2
000952.png,64
000953.png,79
000954.png,71
000955.png,103
000956.png,82
000957.png,50
000958.png,0
000959.png,29
000960.png,79
000961.png,50
000962.png,24
000963.png,84
000964.png,88
000965.png,79
000966.png,94
000967.png,84
000968.png,24
000969.png,71
000970.png,66
000971.png,80
000972.png,77
000973.png,94
000974.png,24
000975.png,55
000976.png,77
000977.png,79
000978.png,57
000979.png,77
000980.png,79
000981.png,40
000982.png,95
000983.png,40
000984.png,79
000985.png,79
000986.png,99
000987.png,44
000988.png,15
000989.png,28
000990.png,85
000991.png,79
000992.png,79
000993.png,50
000994.png,28
000995.png,44
000996.png,50
000997.png,74
000998.png,84
000999.png,79
001000.png,79
001001.png,79
001002.png,79
001003.png,79
001004.png,17
001005.png,74
001006.png,79
001007.png,84
001008.png,23
001009.png,24
001010.png,95
001011.png,0
001012.png,79
001013.png,69
001014.png,72
001015.png,76
001016.png,24
001017.png,24
001018.png,18
001019.png,62
001020.png,24
001021.png,44
001022.png,24
001023.png,79
001024.png,72
001025.png,98
001026.png,50
001027.png,62
001028.png,18
001029.png,79
001030.png,18
001031.png,79
001032.png,44
001033.png,19
001034.png,18
001035.png,65
001036.png,24
001037.png,73
001038.png,4
001039.png,57
001040.png,72
001041.png,76
001042.png,79
001043.png,79
001044.png,79
001045.png,77
001046.png,24
001047.png,1
001048.png,6
001049.png,77
001050.png,15
001051.png,72
001052.png,79
001053.png,79
001054.png,44
001055.png,95
001056.png,79
001057.png,50
001058.png,37
001059.png,84
001060.png,77
001061.png,77
001062.png,79
001063.png,77
001064.png,79
001065.png,79
001066.png,1
001067.png,67
001068.png,9
001069.png,80
001070.png,94
001071.png,72
001072.png,62
001073.png,62
001074.png,2
001075.png,77
001076.png,19
001077.png,74
001078.png,79
001079.png,17
001080.png,17
001081.png,24
001082.png,18
001083.png,50
001084.png,52
001085.png,42
001086.png,57
001087.png,24
001088.png,77
001089.png,50
001090.png,24
001091.png,18
001092.png,79
001093.png,24
001094.png,72
001095.png,27
001096.png,40
001097.png,55
001098.png,75
001099.png,101
001100.png,67
001101.png,79
001102.png,24
001103.png,79
001104.png,84
001105.png,26
001106.png,79
001107.png,105
001108.png,24
001109.png,24
001110.png,20
001111.png,76
001112.png,24
001113.png,79
001114.png,40
001115.png,44
001116.png,79
001117.png,79
001118.png,74
001119.png,77
001120.png,72
001121.png,79
001122.png,67
001123.png,84
001124.png,44
001125.png,91
001126.png,19
001127.png,77
001128.png,77
001129.png,42
001130.png,14
001131.png,24
001132.png,73
001133.png,88
001134.png,79
001135.png,79
001136.png,80
001137.png,44
001138.png,24
001139.png,65
001140.png,73
001141.png,72
001142.png,59
001143.png,49
001144.png,64
001145.png,26
001146.png,79
001147.png,79
001148.png,79
001149.png,8
001150.png,84
001151.png,72
001152.png,45
001153.png,12
001154.png,79
001155.png,65
001156.png,40
001157.png,82
001158.png,79
001159.png,72
001160.png,79
001161.png,79
001162.png,65
001163.png,79
001164.png,31
001165.png,80
001166.png,90
001167.png,62
001168.png,50
001169.png,24
001170.png,1
001171.png,84
001172.png,18
001173.png,64
001174.png,67
001175.png,72
001176.png,29
001177.png,18
001178.png,72
001179.png,79
001180.png,40
001181.png,27
001182.png,101
001183.png,18
001184.png,79
001185.png,77
001186.png,85
001187.png,17
001188.png,79
001189.png,40
001190.png,24
001191.png,80
001192.png,62
001193.png,79
001194.png,9
001195.png,57
001196.png,27
001197.png,79
001198.png,44
001199.png,79
001200.png,18
001201.png,71
001202.png,79
001203.png,79
001204.png,24
001205.png,74
001206.png,79
001207.png,79
001208.png,79
001209.png,24
001210.png,24
001211.png,79
001212.png,18
001213.png,24
001214.png,40
001215.png,62
001216.png,27
001217.png,98
001218.png,79
001219.png,77
001220.png,37
001221.png,24
001222.png,24
001223.png,13
001224.png,79
001225.png,18
001226.png,24
001227.png,24
001228.png,79
001229.png,79
001230.png,25
001231.png,74
001232.png,50
001233.png,28
001234.png,24
001235.png,77
001236.png,72
001237.png,80
001238.png,24
001239.png,7
001240.png,62
001241.png,79
001242.png,79
001243.png,1
001244.png,72
001245.png,79
001246.png,79
001247.png,79
001248.png,93
001249.png,77
001250.png,24
001251.png,65
001252.png,79
001253.png,65
001254.png,24
001255.png,101
001256.png,79
001257.png,77
001258.png,100
001259.png,72
001260.png,96
001261.png,29
001262.png,27
001263.png,27
001264.png,18
001265.png,79
001266.png,79
001267.png,75
001268.png,9
001269.png,50
001270.png,79
001271.png,97
001272.png,79
001273.png,75
001274.png,77
001275.png,24
001276.png,44
001277.png,79
001278.png,73
001279.png,72
001280.png,24
001281.png,77
001282.png,25
001283.png,72
001284.png,72
001285.png,85
001286.png,24
001287.png,72
001288.png,79
001289.png,66
001290.png,101
001291.png,73
001292.png,79
001293.png,63
001294.png,76
001295.png,80
001296.png,24
001297.png,62
001298.png,96
001299.png,57
001300.png,9
001301.png,17
001302.png,79
001303.png,66
001304.png,93
001305.png,44
001306.png,79
001307.png,79
001308.png,77
001309.png,80
001310.png,79
001311.png,40
001312.png,44
001313.png,24
001314.png,18
001315.png,24
001316.png,79
001317.png,40
001318.png,65
001319.png,39
001320.png,50
001321.png,50
001322.png,79
001323.png,44
001324.png,49
001325.png,18
001326.png,27
001327.png,26
001328.png,24
001329.png,79
001330.png,19
001331.png,94
001332.png,24
001333.png,73
001334.png,50
001335.png,95
001336.png,24
001337.png,9
001338.png,77
001339.png,71
001340.png,72
001341.png,72
001342.png,79
001343.png,74
001344.png,24
001345.png,31
001346.png,50
001347.png,77
001348.png,50
001349.png,24
001350.png,77
001351.png,70
001352.png,50
001353.png,79
001354.png,77
001355.png,72
001356.png,77
001357.png,19
001358.png,50
001359.png,19
001360.png,77
001361.png,58
001362.png,24
001363.png,23
001364.png,79
001365.png,79
001366.png,72
001367.png,77
001368.png,79
001369.png,29
001370.png,55
001371.png,79
001372.png,18
001373.png,9
001374.png,80
001375.png,77
001376.png,83
001377.png,50
001378.png,24
001379.png,40
001380.png,42
001381.png,85
001382.png,24
001383.png,79
001384.png,2
001385.png,57
001386.png,79
001387.png,79
001388.png,38
001389.png,26
001390.png,47
001391.png,79
001392.png,72
001393.png,86
001394.png,63
001395.png,24
001396.png,52
001397.png,24
001398.png,57
001399.png,44
001400.png,79
001401.png,25
001402.png,74
001403.png,17
001404.png,79
001405.png,55
001406.png,44
001407.png,74
001408.png,18
001409.png,72
001410.png,93
001411.png,79
001412.png,77
001413.png,79
001414.png,80
001415.png,72
001416.png,25
001417.png,62
001418.png,74
001419.png,79
001420.png,24
001421.png,77
001422.png,24
001423.png,77
001424.png,31
001425.png,79
001426.png,24
001427.png,72
001428.png,2
001429.png,24
001430.png,77
001431.png,24
001432.png,17
001433.png,79
001434.png,79
001435.png,71
001436.png,40
001437.png,9
001438.png,79
001439.png,73
001440.png,28
001441.png,79
001442.png,50
001443.png,79
001444.png,102
001445.png,24
001446.png,98
001447.png,77
001448.png,44
001449.png,79
001450.png,24
001451.png,72
001452.png,24
001453.png,74
001454.png,43
001455.png,44
001456.png,79
001457.png,79
001458.png,24
001459.png,24
001460.png,79
001461.png,77
001462.png,79
001463.png,24
001464.png,79
001465.png,40
001466.png,43
001467.png,79
001468.png,79
001469.png,95
001470.png,79
001471.png,79
001472.png,24
001473.png,50
001474.png,31
001475.png,24
001476.png,104
001477.png,79
001478.png,79
001479.png,80
001480.png,79
001481.png,72
001482.png,79
001483.png,44
001484.png,23
001485.png,72
001486.png,55
001487.png,40
001488.png,79
001489.png,27
001490.png,79
001491.png,44
001492.png,79
001493.png,79
001494.png,51
001495.png,57
001496.png,72
001497.png,75
001498.png,24
001499.png,72
001500.png,24
001501.png,18
001502.png,18
001503.png,57
001504.png,24
001505.png,79
001506.png,77
001507.png,24
001508.png,72
001509.png,79
001510.png,24
001511.png,79
001512.png,9
001513.png,29
001514.png,79
001515.png,79
001516.png,76
001517.png,57
001518.png,80
001519.png,72
001520.png,18
001521.png,79
001522.png,79
001523.png,77
001524.png,79
001525.png,79
001526.png,79
001527.png,23
001528.png,11
001529.png,24
001530.png,18
001531.png,18
001532.png,24
001533.png,40
001534.png,79
001535.png,77
001536.png,24
001537.png,54
001538.png,72
001539.png,79
001540.png,50
001541.png,24
001542.png,24
001543.png,24
001544.png,68
001545.png,9
001546.png,39
001547.png,58
001548.png,77
001549.png,79
001550.png,79
001551.png,73
001552.png,24
001553.png,12
001554.png,24
001555.png,50
001556.png,77
001557.png,77
001558.png,74
001559.png,60
001560.png,72
001561.png,79
001562.png,77
001563.png,79
001564.png,18
001565.png,101
001566.png,68
001567.png,79
001568.png,71
001569.png,93
001570.png,44
001571.png,79
001572.png,21
001573.png,57
001574.png,72
001575.png,74
001576.png,44
001577.png,50
001578.png,4
001579.png,31
001580.png,50
001581.png,79
001582.png,29
001583.png,79
001584.png,70
001585.png,79
001586.png,79
001587.png,79
001588.png,77
001589.png,67
001590.png,79
001591.png,79
001592.png,24
001593.png,69
001594.png,80
001595.png,79
001596.png,18
001597.png,94
001598.png,77
001599.png,84
001600.png,61
001601.png,79
001602.png,79
001603.png,51
001604.png,67
001605.png,79
001606.png,28
001607.png,79
001608.png,58
001609.png,84
001610.png,79
001611.png,49
001612.png,79
001613.png,0
001614.png,101
001615.png,105
001616.png,79
001617.png,29
001618.png,31
001619.png,42
001620.png,79
001621.png,50
001622.png,24
001623.png,24
001624.png,77
001625.png,46
001626.png,19
001627.png,101
001628.png,50
001629.png,79
001630.png,65
001631.png,35
001632.png,27
001633.png,80
001634.png,79
001635.png,77
001636.png,71
001637.png,79
001638.png,72
001639.png,72
001640.png,72
001641.png,79
001642.png,71
001643.png,24
001644.png,24
001645.png,79
001646.png,12
001647.png,75
001648.png,18
001649.png,57
001650.png,79
001651.png,24
001652.png,79
001653.png,24
001654.png,79
001655.png,62
001656.png,27
001657.png,29
001658.png,62
001659.png,77
001660.png,24
001661.png,73
001662.png,77
001663.png,24
001664.png,24
001665.png,79
001666.png,74
001667.png,24
001668.png,73
001669.png,79
001670.png,44
001671.png,79
001672.png,18
001673.png,24
001674.png,44
001675.png,71
001676.png,18
001677.png,79
001678.png,79
001679.png,18
001680.png,27
001681.png,9
001682.png,24
001683.png,72
001684.png,14
001685.png,50
001686.png,77
001687.png,66
001688.png,24
001689.png,24
001690.png,36
001691.png,40
001692.png,79
001693.png,84
001694.png,65
001695.png,65
001696.png,77
001697.png,62
001698.png,18
001699.png,79
001700.png,2
001701.png,74
001702.png,8
001703.png,24
001704.png,24
001705.png,79
001706.png,79
001707.png,31
001708.png,66
001709.png,24
001710.png,71
001711.png,75
001712.png,58
001713.png,24
001714.png,79
001715.png,79
001716.png,27
001717.png,24
001718.png,79
001719.png,9
001720.png,101
001721.png,94
001722.png,44
001723.png,79
001724.png,24
001725.png,84
001726.png,57
001727.png,27
001728.png,18
001729.png,40
001730.png,18
001731.png,79
001732.png,63
001733.png,24
001734.png,31
001735.png,72
001736.png,49
001737.png,45
001738.png,18
001739.png,31
001740.png,79
001741.png,57
001742.png,79
001743.png,67
001744.png,40
001745.png,24
001746.png,39
001747.png,40
001748.png,24
001749.png,79
001750.png,24
001751.png,84
001752.png,82
001753.png,79
001754.png,84
001755.png,24
001756.png,72
001757.png,55
001758.png,50
001759.png,9
001760.png,79
001761.png,79
001762.png,80
001763.png,7
001764.png,57
001765.png,81
001766.png,79
001767.png,77
001768.png,77
001769.png,79
001770.png,24
001771.png,79
001772.png,74
001773.png,50
001774.png,79
001775.png,79
001776.png,67
001777.png,79
001778.png,28
001779.png,71
001780.png,74
001781.png,24
001782.png,79
001783.png,27
001784.png,79
001785.png,77
001786.png,67
001787.png,14
001788.png,74
001789.png,29
001790.png,27
001791.png,27
001792.png,24
001793.png,79
001794.png,79
001795.png,72
001796.png,94
001797.png,24
001798.png,79
001799.png,80
001800.png,50
001801.png,80
001802.png,40
001803.png,72
001804.png,29
001805.png,79
001806.png,72
001807.png,94
001808.png,2
001809.png,79
001810.png,74
001811.png,79
001812.png,24
001813.png,24
001814.png,63
001815.png,74
001816.png,79
001817.png,79
001818.png,50
001819.png,72
001820.png,24
001821.png,79
001822.png,79
001823.png,75
001824.png,79
001825.png,77
001826.png,31
001827.png,66
001828.png,24
001829.png,79
001830.png,79
001831.png,57
001832.png,74
001833.png,71
001834.png,8
001835.png,77
001836.png,24
001837.png,18
001838.png,79
001839.png,62
001840.png,79
001841.png,72
001842.png,44
001843.png,76
001844.png,79
001845.png,79
001846.png,79
001847.png,79
001848.png,50
001849.png,79
001850.png,84
001851.png,2
001852.png,24
001853.png,84
001854.png,24
001855.png,24
001856.png,24
001857.png,35
001858.png,79
001859.png,79
001860.png,24
001861.png,79
001862.png,24
001863.png,50
001864.png,16
001865.png,103
001866.png,77
001867.png,79
001868.png,101
001869.png,77
001870.png,102
001871.png,50
001872.png,79
001873.png,57
001874.png,50
001875.png,79
001876.png,27
001877.png,24
001878.png,77
001879.png,24
001880.png,36
001881.png,50
001882.png,79
001883.png,79
001884.png,94
001885.png,75
001886.png,79
001887.png,66
001888.png,79
001889.png,76
001890.png,24
001891.png,28
001892.png,79
001893.png,77
001894.png,74
001895.png,36
001896.png,79
001897.png,79
001898.png,67
001899.png,79
001900.png,57
001901.png,79
001902.png,24
001903.png,24
001904.png,59
001905.png,79
001906.png,77
001907.png,79
001908.png,95
001909.png,79
001910.png,57
001911.png,24
001912.png,84
001913.png,42
001914.png,44
001915.png,66
001916.png,46
001917.png,84
001918.png,100
001919.png,84
001920.png,79
001921.png,24
001922.png,79
001923.png,24
001924.png,79
001925.png,50
001926.png,79
001927.png,32
001928.png,57
001929.png,79
001930.png,79
001931.png,72
001932.png,0
001933.png,77
001934.png,71
001935.png,24
001936.png,79
001937.png,79
001938.png,24
001939.png,50
001940.png,94
001941.png,57
001942.png,50
001943.png,54
001944.png,80
001945.png,79
001946.png,16
001947.png,101
001948.png,79
001949.png,59
001950.png,79
001951.png,40
001952.png,13
001953.png,77
001954.png,24
001955.png,46
001956.png,66
001957.png,44
001958.png,40
001959.png,72
001960.png,80
001961.png,1
001962.png,35
001963.png,79
001964.png,44
001965.png,62
001966.png,72
001967.png,94
001968.png,95
001969.png,99
001970.png,72
001971.png,24
001972.png,24
001973.png,67
001974.png,26
001975.png,24
001976.png,18
001977.png,79
001978.png,79
001979.png,16
001980.png,43
001981.png,18
001982.png,24
001983.png,70
001984.png,71
001985.png,50
001986.png,24
001987.png,21
001988.png,74
001989.png,79
001990.png,79
001991.png,9
001992.png,50
001993.png,66
001994.png,19
001995.png,18
001996.png,57
001997.png,80
